,Price
3095,3900.0
1276,4500.0
109,3120.0
2114,3200.0
774,6900.0
3454,2500.0
3142,2600.0
3640,2900.0
1674,5840.0
3517,10300.0
3728,2400.0
417,7770.0
2152,2300.0
847,4060.0
1955,11500.0
3814,2360.0
2833,6240.0
3886,2650.0
1091,2500.0
3369,4250.0
2650,1200.0
3443,4500.0
3976,11500.0
2847,3000.0
1087,11490.0
3808,2500.0
3099,5450.0
2436,2990.0
1682,5550.0
3619,15500.0
1993,3110.0
3698,5550.0
1892,7500.0
913,6500.0
2588,8250.0
3094,6900.0
1249,2050.0
2841,6600.0
1444,2850.0
3930,5380.0
743,10000.0
3752,1800.0
577,4450.0
206,9460.0
2440,3100.0
1491,4250.0
710,5400.0
2593,6840.0
3074,5560.0
3851,10500.0
2222,7500.0
1102,2900.0
567,3750.0
2367,4410.0
1958,4650.0
124,2950.0
1884,5350.0
2424,2750.0
3791,3600.0
185,12500.0
2303,2350.0
835,10500.0
467,12450.0
3392,17950.0
1752,2660.0
3891,2900.0
1142,16500.0
1902,3000.0
628,2550.0
1175,7680.0
601,4800.0
3355,3980.0
949,3300.0
3896,4500.0
3759,4290.0
337,5850.0
3409,19500.0
976,6100.0
2164,3110.0
2336,17000.0
226,5490.0
1864,8950.0
3875,2570.0
2963,14000.0
2129,6910.0
2438,7750.0
2026,7830.0
187,14500.0
545,7250.0
783,4750.0
533,2250.0
1294,5150.0
2728,5400.0
1917,11730.0
1965,2000.0
1499,3500.0
1764,4050.0
2305,13500.0
2709,2200.0
1349,3800.0
541,4010.0
1966,7230.0
1810,1090.0
1415,5250.0
197,4500.0
1089,3200.0
3863,4750.0
612,2350.0
1950,5480.0
3888,16140.0
706,16950.0
1543,5450.0
265,5350.0
3265,9000.0
2928,2800.0
3927,7100.0
3695,2510.0
1684,4250.0
30,3280.0
2057,8700.0
1062,12000.0
2122,4200.0
2373,1600.0
1350,2500.0
824,19750.0
1114,4300.0
1626,5750.0
2540,3900.0
2520,11450.0
898,6410.0
450,2500.0
1824,7540.0
3547,15650.0
345,5250.0
2507,4350.0
1323,2350.0
2142,7250.0
2213,12850.0
3880,6500.0
2118,12490.0
2854,4700.0
213,11500.0
110,5500.0
1315,11250.0
412,3650.0
3024,5200.0
897,5900.0
641,5500.0
2828,6350.0
1672,3410.0
2899,5640.0
3370,7250.0
1040,4410.0
514,2190.0
100,8000.0
26,6000.0
1675,3200.0
2314,5600.0
1735,11000.0
2084,3100.0
363,9270.0
3684,6300.0
2489,2950.0
3889,2950.0
3906,4300.0
1073,4500.0
1255,6400.0
1989,13800.0
3790,1000.0
3737,18900.0
2051,3480.0
1809,7990.0
817,4540.0
2308,4750.0
3480,3590.0
2157,5500.0
176,3800.0
815,18750.0
1693,3200.0
1214,2950.0
2207,5180.0
1152,9600.0
1556,8900.0
333,3710.0
2197,2470.0
2203,1600.0
2576,2600.0
1306,5800.0
2865,7750.0
1519,8400.0
1000,6950.0
1665,7250.0
3652,17000.0
2188,8090.0
127,5990.0
2861,2950.0
2483,13690.0
1389,6220.0
3577,9200.0
1650,3950.0
1537,8350.0
1513,4950.0
3534,3250.0
2239,7880.0
249,14400.0
2143,7250.0
3765,3200.0
1569,1200.0
1660,4500.0
1194,6250.0
1697,4250.0
2809,4950.0
2891,4490.0
433,2400.0
201,2210.0
326,2100.0
1474,2450.0
2147,8500.0
1683,10280.0
2764,4750.0
580,10000.0
1023,14210.0
2417,8900.0
2382,3650.0
830,5640.0
85,7110.0
281,7460.0
3736,6730.0
2536,5630.0
624,6950.0
3466,15500.0
3946,4760.0
1183,6000.0
1545,6850.0
1951,4500.0
920,7000.0
236,3400.0
3844,4250.0
2082,910.0
377,3950.0
3023,3150.0
1443,9250.0
397,3220.0
1171,18000.0
1070,7970.0
1724,4000.0
1247,3650.0
356,9450.0
3051,7500.0
2291,8500.0
2343,15000.0
1514,2000.0
98,1150.0
2537,6340.0
1908,4000.0
1404,2500.0
3686,1500.0
879,3400.0
2518,2750.0
2981,2320.0
2066,5600.0
1199,2850.0
2580,3850.0
1384,7750.0
1979,2800.0
1198,2100.0
96,9900.0
1759,10500.0
2866,6000.0
2183,3250.0
700,2900.0
1141,2750.0
1072,7570.0
2495,8450.0
745,1600.0
3379,4800.0
3410,6750.0
850,8250.0
1066,2790.0
3902,8250.0
1208,7320.0
509,750.0
3108,1750.0
2256,2750.0
1970,11750.0
1470,19000.0
3631,3900.0
2515,5110.0
637,5450.0
3540,3900.0
3594,12260.0
2246,4250.0
2633,4110.0
1201,5750.0
1714,2250.0
642,6000.0
2884,5950.0
2997,14410.0
1366,3750.0
2050,7000.0
2022,6920.0
88,6000.0
2882,2300.0
2096,2900.0
2910,9000.0
1241,6000.0
1820,4250.0
3573,10990.0
3331,13540.0
3232,2900.0
1182,19640.0
2564,14250.0
3773,2850.0
3838,5020.0
2877,16500.0
1200,18000.0
791,4570.0
638,17750.0
3973,6250.0
2604,7250.0
2699,2200.0
2048,4080.0
3204,17500.0
895,11000.0
347,18000.0
1946,2950.0
1279,16500.0
295,2150.0
418,17500.0
306,10500.0
2790,2900.0
3975,6020.0
211,1400.0
3043,3750.0
1488,7500.0
3253,4250.0
2554,2500.0
2893,5750.0
584,10500.0
2217,7400.0
1536,17500.0
2019,1990.0
2175,3650.0
1386,2650.0
2401,1900.0
2667,2600.0
2505,18500.0
582,7390.0
3428,4980.0
3201,6500.0
3152,6500.0
3036,14500.0
34,3500.0
3599,4400.0
3970,3600.0
767,3950.0
1635,2500.0
680,9890.0
3644,2210.0
930,2000.0
2715,3360.0
2685,2400.0
2185,2390.0
3145,2900.0
3004,3900.0
1836,5550.0
1472,5000.0
3156,4190.0
179,2800.0
594,2350.0
3501,5110.0
3581,3020.0
2264,8700.0
2514,3000.0
1518,3350.0
1319,3600.0
3106,6500.0
2597,2390.0
3384,4900.0
3929,4600.0
2427,4250.0
3734,11880.0
1450,3500.0
3321,9310.0
1533,2950.0
696,5960.0
2441,3250.0
3642,2550.0
447,5990.0
2538,2250.0
2727,5600.0
1784,4250.0
3864,9000.0
41,17990.0
3107,3300.0
2365,10000.0
2531,5950.0
2996,3400.0
1410,5600.0
1869,8200.0
1804,6000.0
3885,3900.0
955,1550.0
2862,7000.0
3576,4100.0
3113,5600.0
2408,14450.0
1302,3150.0
142,18600.0
2234,2750.0
852,1300.0
2161,4900.0
2598,3950.0
16,5250.0
3831,2700.0
1769,8800.0
67,5500.0
1797,4750.0
3678,5750.0
408,16610.0
2272,4150.0
2901,4950.0
933,4500.0
2405,4450.0
3931,2800.0
3190,5370.0
395,2490.0
2659,12000.0
2260,2700.0
1431,12500.0
807,5500.0
456,6500.0
3068,5450.0
2350,6250.0
4003,5000.0
2880,9750.0
315,3750.0
3824,1600.0
2290,8500.0
1673,440.0
2492,7310.0
3038,16670.0
2834,7500.0
1939,4940.0
1827,2200.0
1027,6170.0
1710,4020.0
1211,5500.0
1243,2750.0
1587,6850.0
3634,8750.0
2111,6450.0
1903,1600.0
1022,10000.0
3845,6060.0
485,7450.0
3997,3220.0
3614,4900.0
2677,4250.0
191,13000.0
2897,5450.0
405,6950.0
1747,12690.0
2500,4120.0
2737,3200.0
1629,3750.0
3405,14500.0
1163,3850.0
992,2500.0
3859,4800.0
87,3300.0
804,5500.0
1435,2750.0
367,4250.0
3317,4530.0
525,11500.0
857,6220.0
3900,4550.0
3662,8200.0
1056,10110.0
242,6900.0
1801,8000.0
2313,8610.0
789,18500.0
3847,9650.0
2581,3800.0
134,2000.0
1575,5490.0
1609,3750.0
1616,3700.0
500,6500.0
3785,4500.0
2969,2000.0
3528,12500.0
2885,4150.0
2826,1400.0
1131,2350.0
2752,5750.0
731,6750.0
3280,3770.0
2873,11870.0
2868,6750.0
1977,8250.0
720,2600.0
